RepRapFirmware height map file v2 generated at 2019-07-29 16:09, mean error 0.795, deviation 0.350
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-60.00,60.10,-60.00,60.10,75.00,20.00,20.00,7,7
      0,  0.614,  0.317,  0.285,  0.351,  0.603,      0
  1.107,  0.852,  0.538,  0.363,  0.355,  0.429,  0.730
  1.251,  0.969,  0.659,  0.459,  0.385,  0.455,  0.496
  1.266,  1.025,  0.775,  0.537,  0.409,  0.408,  0.431
  1.181,  0.996,  0.822,  0.762,  0.673,  0.562,  0.576
  0.970,  1.045,  1.117,  1.085,  1.083,  0.965,  0.936
      0,  1.110,  1.331,  1.426,  1.526,  1.522,      0
